AB000322.1	85472
AB000324.1	62329
AB000325.1	62329
AB000326.1	62329
AB000327.1	62329
AB000328.1	62329
AB000329.1	62329
AB000330.1	3617
AB000331.1	180217
AB000332.1	85474
AB000335.1	85477
AB000337.1	85479
AB000338.1	85479
AB000339.1	62330
AB000341.1	62331
AB000342.1	62331
AB002592.1	77554
AB002593.1	77554
AB002595.1	77554
AB002597.1	77556
AB002603.1	77553
AB002607.1	77553
AB002612.1	77558
AB002616.1	77558
AB002617.1	77555
AB002622.1	77561
AB002627.1	77560
AB004937.1	73803
AB004938.1	73803
AB004940.1	73803
AB004941.1	50863
AB004945.1	50863
AB004952.1	50864
AB004955.1	50865
AB004956.1	50865
AB004958.1	50865
AB004960.1	50865
AB004961.1	50866
AB004962.1	50866
AB004964.1	246710
AB004966.1	246710
AB004967.1	246710
AB004972.1	85362
AB004975.1	85362
AB004976.1	85362
AB004979.1	50870
AB004981.1	50870
AB004990.1	50875
AB004992.1	50875
AB004994.1	50875
AB004995.1	50875
AB004997.1	50877
AB005007.1	50881
AB005008.1	50881
AB005011.1	50884
AB005012.1	49190
AB005017.1	246712
AB005018.1	246712
AB005019.1	49286
AB005021.1	246713
AB018800.1	83858
AB018801.1	49666
AB018804.1	49668
AB018806.1	49670
AB018810.1	82480
AB018811.1	82482
AB018812.1	50545
AB018813.1	82485
AB018814.1	55186
AB018816.1	82490
AB018817.1	82492
AB018819.1	82494
AB018822.1	55187
AB018824.1	49676
AB018825.1	82504
AB018826.1	82471
AB019495.1	74635
AB019498.1	74647
AB019502.1	74652
AB020375.1	85439
AB020376.1	3444
AB020420.1	4692
AB020421.1	85378
AB020422.1	82332
AB020423.1	85366
AB020424.1	85376
AB020425.1	82329
AB020426.1	85367
AB020427.1	83808
AB020428.1	83807
AB020430.1	82327
AB020431.1	85375
AB020432.1	84056
AB020433.1	82331
AB020434.1	82328
AB020435.1	84054
AB020436.1	84055
AB020437.1	82326
AB020438.1	84058
AB020439.1	84053
AB020440.1	84049
AB020441.1	85365
AB020442.1	2883935
AB020443.1	85371
AB020444.1	82324
AB020446.2	82323
AB020447.1	84052
AB020448.1	79006
AB020449.1	85377
AB020450.1	79007
AB020451.1	79001
AB020452.1	85368
AB020453.1	79002
AB020454.1	85369
AB020455.1	82322
AB020457.1	84045
AB020458.1	4690
AB020459.1	83805
AB020461.1	82316
AB020462.1	83804
AB020463.1	82315
AB020464.1	83802
AB020465.1	82318
AB020466.1	83800
AB020467.2	4689
AB020468.1	84044
AB020469.1	82311
AB020470.1	63788
AB020471.1	78998
AB020472.1	78997
AB020473.1	79000
AB020475.1	78996
AB020476.1	82320
AB022736.1	38861
AB022737.1	54802
AB023978.1	89478
AB023983.1	3369
AB023987.1	89484
AB023991.1	89481
AB023995.1	25629
AB023997.1	89482
AB024000.1	120273
AB032033.1	103750
AB032034.1	103751
AB032035.1	103753
AB032041.1	102764
AB032042.1	102771
AB032048.1	102778
AB032049.1	103755
AB032052.1	103744
AB032053.1	103745
AB032054.1	103759
AB033295.1	104327
AB033296.1	104328
AB033298.1	104330
AB033299.1	104332
AB033300.1	104961
AB033301.1	104962
AB033302.1	104963
AB033303.1	104964
AB033304.1	104965
AB033305.1	104966
AB033306.1	104967
AB033307.1	104968
AB033308.1	104326
AB033309.1	104969
AB033310.1	104970
AB033311.1	105341
AB033312.1	105343
AB033313.1	105344
AB033314.1	105346
AB033315.1	105347
AB033316.1	105350
AB033318.1	105489
AB033319.1	105490
AB033320.1	105492
AB033321.1	105494
AB033322.1	105496
AB033323.1	105499
AB033324.1	105501
AB034194.1	107237
AB035278.1	84043
AB035279.1	84050
AB035280.1	83803
AB035281.1	83806
AB035282.1	82312
AB035283.1	82317
AB035284.1	109808
AB035285.1	82319
AB035286.1	82321
AB035287.1	82333
AB035653.2	74629
AB035654.2	74638
AB035655.2	74636
AB035656.2	74632
AB038440.1	117266
AB038441.1	117260
AB038443.1	3091769
AB038444.1	74645
AB038445.1	117264
AB038449.1	283482
AB038452.1	117267
AB038456.1	283339
AB038457.1	117261
AB038459.1	74654
AB043000.1	74646
AB043824.1	74632
AB043825.1	74632
AB043828.1	127555
AB043829.1	127555
AB044412.1	99285
AB048212.1	161505
AB048592.1	136997
AB048596.1	137000
AB049288.1	105673
AB049294.1	138141
AB049296.1	138157
AB049298.1	138157
AB049303.1	138164
AB049304.1	138156
AB049309.1	138142
AB049315.1	138139
AB051905.1	144173
AB051906.1	144174
AB051907.1	144175
AB051908.1	144176
AB051910.1	3084577
AB051912.1	144063
AB051913.1	144064
AB051915.1	144087
AB051916.1	144098
AB051918.1	144086
AB051919.1	144101
AB051921.1	144152
AB051922.1	20425
AB051923.1	144097
AB051924.1	144066
AB051925.1	144085
AB051926.1	144095
AB051927.1	144135
AB051928.1	144125
AB051929.1	144069
AB051930.1	144072
AB051935.1	144106
AB051936.1	20414
AB051937.1	90162
AB051939.1	47074
AB051940.1	144154
AB051941.1	83862
AB051942.1	144078
AB051943.1	144067
AB051955.1	144089
AB051957.1	144129
AB051963.1	144091
AB051965.1	47065
AB051966.1	144157
AB051967.1	144102
AB051969.1	144124
AB051970.1	144061
AB051971.1	144153
AB051972.1	144076
AB051976.1	144171
AB051977.1	144059
AB051978.1	144062
AB051980.1	144096
AB051981.1	144131
AB051982.1	144118
AB051986.1	144120
AB051988.1	144149
AB051994.1	144105
AB051998.1	144140
AB052001.1	144138
AB052002.1	144110
AB052003.1	144107
AB052009.1	144159
AB052010.1	144114
AB052017.1	144104
AB052018.1	144142
AB052027.1	144080
AB052030.1	144121
AB052033.1	144103
AB052034.1	144139
AB064278.1	41568
AB071668.1	29780
AB071675.1	171932
AB071677.1	171932
AB071678.1	171933
AB071679.1	171934
AB071680.1	171935
AB071681.1	171936
AB071682.1	171937
AB071683.1	171938
AB071685.1	171940
AB071688.1	171943
AB071689.1	171944
AB071691.1	171931
AB076188.1	54799
AB076190.1	13365
AB076191.1	179181
AB076196.1	41994
AB076205.1	58031
AB076208.1	58033
AB076209.1	115877
AB076216.1	179202
AB076217.1	179207
AB076219.1	179211
AB076222.1	179233
AB076225.1	133430
AB076227.1	133431
AB076232.1	182488
AB076234.1	34342
AB076239.1	179072
AB076241.1	114456
AB076243.1	182489
AB076568.1	3311
AB083101.1	51607
AB083102.1	51607
AB083104.1	191329
AB083105.1	116736
AB088557.1	202975
AB088560.1	202967
AB088561.1	1211475
AB088562.1	202974
AB088565.1	202977
AB088566.1	202968
AB088567.1	202972
AB088569.1	202979
AB088570.1	91096
AB088571.1	202971
AB088572.1	202986
AB088575.1	116725
AB088578.1	91113
AB088579.1	202982
AB088580.1	595263
AB088581.1	203032
AB088583.1	203033
AB088593.1	203005
AB088594.1	203003
AB088596.1	203004
AB088598.1	203010
AB088599.1	203015
AB088601.1	203008
AB088602.1	203019
AB088605.1	203017
AB088606.1	203000
AB088607.1	203018
AB088608.1	202995
AB088609.1	202993
AB088610.1	203036
AB088611.1	203006
AB088612.1	91120
AB088613.1	202990
AB088614.1	202988
AB088615.1	202989
AB088616.1	202991
AB088617.1	203021
AB088618.1	91144
AB088619.1	203031
AB088620.1	203027
AB088621.1	203023
AB088622.1	203026
AB088624.1	91146
AB088626.1	203030
AB088627.1	203022
AB088628.1	91125
AB088629.1	203028
AB088630.1	203029
AB088631.1	203024
AB088632.1	203025
AB095079.1	91248
AB095081.1	50207
AB096873.1	75716
AB097221.1	215638
AB097222.1	215639
AB097224.1	215664
AB097226.1	215666
AB097228.1	215652
AB097229.1	215651
AB097230.1	188493
AB097232.1	188499
AB097233.1	215654
AB097236.1	215659
AB097237.1	215657
AB097238.1	215658
AB097239.1	215641
AB097240.1	215642
AB097241.1	215644
AB097242.1	215645
AB097243.1	215646
AB097244.1	215643
AB097245.1	215640
AB097246.1	215647
AB097248.1	199668
AB097250.1	215660
AB097251.1	215661
AB097252.1	215662
AB097254.1	215663
AB097637.1	216028
AB097638.1	216033
AB097640.1	216034
AB097642.1	3116
AB097650.1	3119
AB097651.1	63410
